"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_annualized_frequency","wildfire_annualized_frequency"
"CA","Los Angeles","06037117101","+34.2391374,-118.4621302","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117102","+34.2481946,-118.4598237","29.77943993","17.26370049","2.630584717","73.11111111","2.94011e-05"
"CA","Los Angeles","06037117201","+34.2426724,-118.4700895","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117202","+34.2429124,-118.4788675","29.77943993","17.26370049","2.630584717","73.11111111","7.63213e-05"
"CA","Los Angeles","06037117301","+34.2421587,-118.4896512","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117302","+34.2381430,-118.4987424","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117303","+34.2281097,-118.4912814","29.77943993","17.26370049","2.630584717","73.11111111","3.6438e-05"
"CA","Los Angeles","06037117404","+34.2284788,-118.4790770","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117405","+34.2337312,-118.4702311","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117407","+34.2301059,-118.4703117","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117408","+34.2248464,-118.4703709","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117510","+34.2336780,-118.4621485","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117520","+34.2300853,-118.4621861","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037117530","+34.2264373,-118.4643776","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119001","+34.2351095,-118.4203143","29.77943993","17.26370049","2.630584717","73.11111111","2.92661e-05"
"CA","Los Angeles","06037119002","+34.2469249,-118.4275349","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119201","+34.2462338,-118.4406390","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119202","+34.2547197,-118.4424803","29.77943993","17.26370049","2.630584717","73.11111111","2.93524e-05"
"CA","Los Angeles","06037119310","+34.2450202,-118.4516702","29.77943993","17.26370049","2.630584717","73.11111111","1.21724e-05"
"CA","Los Angeles","06037119320","+34.2369427,-118.4547256","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119340","+34.2336090,-118.4519009","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119341","+34.2371667,-118.4458757","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119342","+34.2407688,-118.4472671","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119400","+34.2378874,-118.4353682","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119700","+34.2207731,-118.4257669","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037119800","+34.2329132,-118.4291943","29.77943993","17.26370049","2.630584717","73.11111111","3.78257e-06"
